communityname,state,lat,lng
OrmondBeachcity,FL,29.2854132,-81.0557921
Lynchburgcity,VA,37.40088,-79.1844924
Clintoncity,MS,32.3415342,-90.3217585
Andersoncity,SC,34.5068601,-82.6506264
Mesquitecity,TX,32.7666103,-96.599472
ParkForestvillage,IL,41.494354,-87.679253
ChippewaFallscity,WI,44.9369054,-91.3929348
Beavercreekcity,OH,39.7092262,-84.0632685
Keenecity,NH,42.933597,-72.2784264
Springfieldtownship,OH,39.9242266,-83.8088172
Swissvaleborough,PA,40.434016,-79.883766
Knoxvillecity,TN,35.9603948,-83.9210261
Kernersvilletown,NC,36.1198589,-80.0736533
Bloomingtoncity,MN,44.8322405,-93.3204872
ScotchPlainstownship,NJ,40.65538,-74.3898732
Newingtontown,CT,41.6978777,-72.7237063
Moberlycity,MO,39.4201137,-92.4364298
Sandycity,UT,40.5664878,-111.838904
Wheatoncity,IL,41.8646959,-88.1101709
WhiteLaketownship,MI,42.6916964,-83.5541098
Chickashacity,OK,35.052565,-97.9364326
Tucsoncity,AZ,32.2228765,-110.9748477
Gallowaytownship,NJ,39.4646097,-74.4986142
Sweetwatercity,TX,32.4709519,-100.4059384
Portsmouthcity,NH,43.0717552,-70.7625532
Hulltown,MA,42.3020436,-70.9078243
Scotttownship,PA,41.5695241,-75.6321327
Pittsfieldtownship,MI,42.2103174,-83.7241068
Duncanvillecity,TX,32.6518004,-96.9083366
Mexicocity,MO,39.1697626,-91.8829484
NewProvidenceborough,NJ,40.700033,-74.407035
Barnstabletown,MA,41.7001132,-70.2994666
Rutherfordborough,NJ,40.815885,-74.112873
Portlandcity,OR,45.5202471,-122.6741949
Manassascity,VA,38.744947,-77.4824442
Torrancecity,CA,44.9955309,-79.5692407
SouthJordancity,UT,40.5621704,-111.929658
RedwoodCitycity,CA,37.4863239,-122.2325233
Lancastertownship,PA,40.03813,-76.3056686
Algonquinvillage,IL,42.184526,-88.256644
Sebastiancity,FL,27.816415,-80.4706078
GrandForkscity,ND,47.9078244,-97.0592028
NewHaventown,CT,41.3082138,-72.9250518
Westwegocity,LA,29.9060388,-90.1422962
Doltonvillage,IL,40.00032,-89.25037
Munstertown,IN,41.5644798,-87.5125412
Newberrytown,SC,34.2753247,-81.6188633
NorthTonawandacity,NY,43.038668,-78.8642034
Redlandscity,CA,34.055735,-117.1888961
Avondalecity,AZ,33.4354989,-112.3495572
Lafayettecity,CO,40.0024435,-105.10958
Oshkoshcity,WI,44.0206919,-88.5408574
Tukwilacity,WA,47.4627356,-122.2559156
Dublincity,CA,43.4984009,-81.2911804
Breacity,CA,33.9170444,-117.8888557
NorthAugustacity,SC,33.5018026,-81.9651153
Tallahasseecity,FL,30.4380832,-84.2809332
Princetonborough,NJ,40.333451,-74.681602
Menomoniecity,WI,44.8755183,-91.9193422
Sturgiscity,MI,41.799217,-85.4191482
Alpharettacity,GA,34.0709576,-84.2747329
Jeffersontownship,NJ,39.7537248,-75.2118485
StevensPointcity,WI,44.5229223,-89.574111
Woodlandcity,CA,38.6786109,-121.7733285
NorthBrunswicktownship,NJ,40.5085141,-74.4586872
Springfieldcity,OH,39.9242266,-83.8088172
Richfieldcity,MN,44.8766431,-93.2877877
Corsicanacity,TX,32.091299,-96.4646821
Wabashcity,IN,40.8065352,-85.7833563
Woostercity,OH,40.7991766,-81.9383187
LosAngelescity,CA,34.0536909,-118.2427666
Harrisontown,NJ,40.7464901,-74.1562551
Swanseatown,MA,41.7481575,-71.1897684
Superiorcity,WI,46.7207737,-92.1040796
Monroecity,MI,41.9145037,-83.3968252
Madisontownship,OH,41.6604854,-84.5243913
Seasidecity,CA,49.2720631,-123.1069215
Grapevinecity,TX,32.9337381,-97.0788754
Columbiacity,MO,38.951883,-92.3337366
Lebanoncity,OR,44.5365467,-122.9068762
WestChesterborough,PA,39.980107,-75.610503
Eatontownborough,NJ,40.24559,-74.5859
Parkersburgcity,WV,39.2699565,-81.5506916
Spokanecity,WA,47.6579425,-117.4212265
Durangocity,CO,37.2713951,-107.8815978
Aberdeencity,WA,46.975371,-123.815722
Sumtercity,SC,33.9204354,-80.3414693
Burrillvilletown,RI,41.9699753,-71.6977885
AnnArborcity,MI,42.2681569,-83.7312291
Derrytown,NH,42.8808677,-71.3264492
Daniacity,FL,56.6735804,10.2340512
Salemcity,OH,40.9008923,-80.8567502
Greendalevillage,WI,42.630854,-88.289644
UnionCitycity,NJ,40.7795455,-74.0237512
FosterCitycity,CA,37.5600336,-122.2688522
Flintcity,MI,43.0171773,-83.7236024
NewBrunswickcity,NJ,40.4862174,-74.4518173
Houmacity,LA,29.5957696,-90.7195348
EastPaloAltocity,CA,37.4688273,-122.1410751
Brentwoodcity,TN,36.0325687,-86.7825235
LeagueCitycity,TX,29.5074538,-95.0949303
NewIberiacity,LA,30.0035365,-91.8187285
Astontownship,PA,39.8726542,-75.4405473
GloucesterCitycity,NJ,39.8918622,-75.1161897
Shalertownship,PA,40.161289,-80.486165
Arnoldcity,MO,38.4226711,-90.3758287
Goshentownship,OH,39.2318998,-84.1601458
Chestercity,PA,39.9829308,-75.7652424
UnionCitycity,TN,36.4242303,-89.0570096
Tampacity,FL,27.9477595,-82.458444
Dallascity,TX,32.7762719,-96.7968559
Searcycity,AR,35.2506406,-91.7362488
Bellinghamcity,WA,48.7544012,-122.4788361
BullheadCitycity,AZ,35.1358413,-114.5287143
CulverCitycity,CA,34.0211224,-118.3964665
Newbergcity,OR,45.300596,-122.9725418
Readingcity,PA,40.335345,-75.9279495
Rustoncity,LA,32.5232053,-92.637927
Richmondcity,CA,37.9553875,-122.4128267
Methuentown,MA,42.7262016,-71.1908924
Florissantcity,MO,38.7919683,-90.3227803
WestFargocity,ND,46.874967,-96.900362
Douglascity,AZ,31.46223,-109.5939427
Selmacity,AL,32.4078632,-87.0207473
Nortoncity,OH,41.0292217,-81.6381795
Missioncity,TX,26.2159066,-98.3252932
Middletownship,NJ,39.086816,-74.831565
MountLaureltownship,NJ,39.934002,-74.8909988
Greeleycity,CO,40.4233142,-104.7091322
CostaMesacity,CA,33.6633386,-117.903317
LosAlamitoscity,CA,33.8038865,-118.0772433
SouthOrangeVillagetownship,NJ,40.7474966,-74.2635376
RedBluffcity,CA,40.1784279,-122.2359236
Plainfieldtown,IN,39.7042123,-86.3994387
Fredericksburgcity,VA,38.3031837,-77.4605399
Colleyvillecity,TX,32.8809603,-97.155012
Pittsburgcity,CA,38.0181745,-121.8901232
MissionViejocity,CA,33.5965685,-117.659405
LongBeachcity,CA,44.4567705,-78.7359702
Duluthcity,MN,46.7729322,-92.1251218
Shelbycity,NC,35.2919489,-81.5402112
Coronacity,CA,49.198057,-124.087538
Beverlycity,MA,42.5584284,-70.8800491
CoralSpringscity,FL,26.2648561,-80.265342
NorthBranfordtown,CT,41.3275971,-72.7673198
Geneseetownship,MI,43.0220032,-83.7274305
SanBrunocity,CA,37.6304904,-122.4110835
Valdostacity,GA,30.8327022,-83.2784851
OklahomaCitycity,OK,35.4729886,-97.5170536
PortLavacacity,TX,28.6149968,-96.6260892
Alicecity,TX,27.7522487,-98.0697249
Sterlingcity,CO,40.6255415,-103.207709
Coronadocity,CA,53.886363,-113.2979008
Bremertoncity,WA,47.5653663,-122.6246836
RapidCitycity,SD,44.081176,-103.228006
LaPalmacity,CA,43.6513475,-79.4101178
Glenviewvillage,IL,40.00032,-89.25037
Dinubacity,CA,36.5432837,-119.3870656
TempleTerracecity,FL,28.0352964,-82.3892596
Bendcity,OR,44.0581728,-121.3153096
Bernardstownship,NJ,39.8933471,-74.8764964
Pocatellocity,ID,42.8688613,-112.4401098
Clearlakecity,CA,38.9582307,-122.6263728
Gulfportcity,MS,30.3674198,-89.0928155
Fremontcity,OH,41.3503303,-83.1218634
Midlandcity,MI,43.6155825,-84.2472117
Laurelcity,MS,31.74096,-89.13382
MountVernoncity,NY,40.9125992,-73.8370786
Raytowncity,MO,39.3661726,-93.9888262
Natchitochescity,LA,31.7606732,-93.0860209
Lebanoncity,OH,39.4353373,-84.2029922
Pariscity,TX,33.6617962,-95.555513
Hawthorneborough,NJ,40.16706,-74.49987
DeSotocity,TX,32.5898577,-96.8569451
SunPrairiecity,WI,43.1834579,-89.2134359
Hendersonvillecity,TN,36.3049177,-86.621443
BoyntonBeachcity,FL,26.5253491,-80.0664309
Raritantownship,NJ,40.5695474,-74.6329363
TraverseCitycity,MI,44.7606441,-85.6165301
Rockwallcity,TX,32.8923464,-96.4066987
Meridiancity,MS,32.3643098,-88.703656
NewPortRicheycity,FL,28.2441768,-82.7192671
LowerAllentownship,PA,40.226037,-76.9085501
Willingborotownship,NJ,40.0278894,-74.8690542
RidgefieldParkvillage,NJ,40.847819,-74.027127
Emmetttownship,MI,42.9905832,-82.7649266
Hinghamtown,MA,42.2417669,-70.8897676
ElDoradocity,AR,-35.5785832,-58.9391211
Westbrookcity,ME,43.6770252,-70.3711617
Newburghcity,NY,41.5034271,-74.0104179
Butlertownship,PA,40.8610205,-79.8952251
Lindencity,NJ,40.6220478,-74.2445902
Kalamazoocity,MI,42.291707,-85.5872286
ForestParkcity,GA,33.6220542,-84.3690918
Viennatown,VA,38.9013729,-77.2651762
Westfieldtown,NJ,40.6589912,-74.3473717
GrandTerracecity,CA,34.0339031,-117.3136544
Carsoncity,CA,33.8322043,-118.2517547
Berkeleytownship,NJ,40.6834349,-74.442653
Auburncity,NY,42.9320202,-76.5672029
Hilliardcity,OH,40.033814,-83.1596108
Davietown,FL,26.075729,-80.284109
Greenfieldtown,MA,42.5877962,-72.6006199
Weirtoncity,WV,40.4189566,-80.5895167
Lenoircity,NC,35.2590371,-77.6484879
Independencecity,KY,38.9431183,-84.544109
Lomitacity,CA,33.8036545,-118.3195014
Milfordtown,CT,41.2222218,-73.0570603
Kokomocity,IN,40.4864444,-86.1336351
WestMonroecity,LA,32.5184775,-92.1476353
RedWingcity,MN,44.5624676,-92.5338013
RedondoBeachcity,CA,33.8455911,-118.3886766
Leesburgcity,FL,28.810823,-81.8778582
Sanfordtown,ME,43.439249,-70.7742246
Mariettacity,OH,39.4167742,-81.4548392
LakeOswegocity,OR,45.4206749,-122.6706498
Renocity,NV,39.5261206,-119.8126581
Johnstontown,RI,41.8310404,-71.5412101
GlendaleHeightsvillage,IL,37.450442,-88.660934
Rockfordcity,IL,42.2713945,-89.093966
LaPuentecity,CA,34.01979,-117.9503677
WalnutCreekcity,CA,56.7698423,-111.4704995
Wausaucity,WI,44.9596017,-89.6298239
UpperDarbytownship,PA,39.9284459,-75.2737955
Louisvillecity,CO,39.977763,-105.1319296
Napervillecity,IL,41.7728699,-88.1479278
Hollistercity,CA,49.2832418,-123.1180564
SaddleBrooktownship,NJ,40.898988,-74.0926418
Newportcity,RI,41.4899827,-71.3137707
Quincycity,MA,42.2528772,-71.0022705
Eagancity,MN,44.818173,-93.1659179
MapleGrovecity,MN,45.0759797,-93.4561052
RockHillcity,SC,34.9248667,-81.0250784
Arvadacity,CO,39.8211225,-105.220743
Monroecity,WI,43.9416755,-90.6397264
YubaCitycity,CA,39.1404477,-121.6169108
Pawtucketcity,RI,41.878711,-71.3825558
Wichitacity,KS,37.6922361,-97.3375448
Denvilletownship,NJ,40.8922694,-74.4774255
Lancastercity,OH,39.7136754,-82.5993294
Perriscity,CA,33.7825194,-117.2286478
SaltLakeCitycity,UT,40.7596198,-111.8867975
BlueSpringscity,MO,39.017316,-94.282265
Americuscity,GA,32.0723862,-84.2326876
Bessemercity,AL,33.3823635,-86.9172047
OakRidgecity,TN,36.0103562,-84.2696449
Speedwaytown,IN,39.8022653,-86.2672127
Lakewoodcity,OH,41.4819932,-81.7981908
Jolietcity,IL,41.5263603,-88.0840212
Venicecity,FL,27.0998708,-82.4544132
Madisonvillecity,KY,37.3280037,-87.4986989
Corningcity,NY,42.1435257,-77.0543408
Zanesvillecity,OH,39.9403453,-82.0131924
PlantCitycity,FL,28.0180602,-82.118482
WestLinncity,OR,45.3656761,-122.6123141
Burnsvillecity,MN,44.7677424,-93.2777226
Muhlenbergtownship,PA,41.2289714,-76.1590963
RiverEdgeborough,NJ,40.16706,-74.49987
MorenoValleycity,CA,33.937517,-117.2305944
Pierrecity,SD,44.368305,-100.351185
Ramseyborough,NJ,40.16706,-74.49987
CopperasCovecity,TX,31.103623,-97.9468501
Ketteringcity,OH,39.6895036,-84.1688274
GrandChutetown,WI,44.3039719,-88.4406674
Dumontborough,NJ,40.16706,-74.49987
Novicity,MI,42.48059,-83.4754913
Xeniacity,OH,39.6847822,-83.9296526
SouthPortlandcity,ME,43.6414716,-70.2408811
Troycity,OH,40.0394982,-84.2032767
Melrosecity,MA,42.4564323,-71.064182
Berlintown,CT,41.621488,-72.7456519
Fergusoncity,MO,38.744707,-90.3038975
Paradisetown,CA,44.8697855,-65.2075188
Greenvillecity,SC,34.851354,-82.3984882
Pullmancity,WA,46.7304268,-117.173895
Dickinsoncity,ND,46.8791756,-102.7896242
Nilescity,MI,41.8297694,-86.2541768
AgouraHillscity,CA,34.14791,-118.7657042
Greenvillecity,TX,33.1384488,-96.1108066
Burlingamecity,CA,37.5841026,-122.3660825
Middletoncity,WI,43.0962919,-89.5119565
Branfordtown,CT,41.2795414,-72.8150989
Haddontownship,NJ,39.8976132,-75.0960074
Burkburnettcity,TX,34.0978711,-98.5706134
Harrisburgcity,PA,40.2663107,-76.8861122
Roycity,UT,41.1617999,-112.0261903
Buffalocity,NY,42.8867166,-78.8783922
Albanycity,GA,31.5782062,-84.1556809
Lancastercity,TX,32.5920798,-96.7561083
CapeCoralcity,FL,26.6059432,-81.9806771
Lodiborough,NJ,40.16706,-74.49987
Detroitcity,MI,42.3315509,-83.0466403
Sarasotacity,FL,27.3364347,-82.5306527
BrooklynParkcity,MN,45.1004807,-93.3443585
Dothancity,AL,31.2237434,-85.3933906
Visaliacity,CA,36.3302284,-119.2920585
Highlandtown,IN,41.5536469,-87.451984
DelrayBeachcity,FL,26.4614625,-80.0728201
Oxfordtown,MA,42.1167621,-71.8647941
Andrewscity,TX,32.2690953,-102.6042447
Seguincity,TX,29.5688411,-97.9647269
UniversalCitycity,TX,29.5480071,-98.2911235
SierraVistacity,AZ,31.5455709,-110.2772249
MyrtleBeachcity,SC,33.6956461,-78.8900409
Hawthornecity,CA,33.9140085,-118.3810855
Savannahcity,GA,32.0809263,-81.0911768
Pennsvilletownship,NJ,39.6534464,-75.5165881
Melvindalecity,MI,42.2825383,-83.175203
EdenPrairiecity,MN,44.8546856,-93.470786
Greenvillecity,NC,35.612661,-77.3663538
KeyWestcity,FL,24.5625566,-81.7724368
SanJacintocity,CA,33.7839664,-116.9589086
Greenwichtown,CT,41.0264862,-73.6284598
Sacramentocity,CA,38.5815719,-121.4943996
Lakelandcity,FL,28.0394654,-81.9498042
Scrantoncity,PA,41.4086874,-75.6621294
Centertownship,PA,4.2977232,11.5433907
Joplincity,MO,37.08418,-94.51323
Sparkscity,NV,39.5404679,-119.7487235
Colliervilletown,TN,35.042036,-89.6645266
CityofOrangetownship,NJ,40.785753,-74.26506
SouthGatecity,CA,44.0988332,-80.5965591
FortWorthcity,TX,32.753177,-97.3327459
Slidellcity,LA,30.2751945,-89.7811745
Scottsborocity,AL,34.6731323,-86.0338765
Yanktoncity,SD,42.8712938,-97.3967011
Miramarcity,FL,25.9759115,-80.3347213
Oceantownship,NJ,39.977818,-74.3319287
Harvardtown,MA,42.3679086,-71.1267824
Okmulgeecity,OK,35.6677078,-95.9690122
NewportBeachcity,CA,53.4442995,-113.4037637
Martinezcity,CA,38.0138934,-122.1338674
Prattvillecity,AL,32.4640245,-86.4596966
Montclairtownship,NJ,40.8164458,-74.2210643
Hollandcity,MI,42.7876022,-86.1090828
UpperArlingtoncity,OH,39.9945084,-83.0624078
Hopkinsvillecity,KY,36.8657651,-87.4889532
Glendoracity,CA,34.1361187,-117.865339
GreenRivercity,WY,41.5290933,-109.4664738
Sumptertownship,MI,42.1311628,-83.481433
Bellinghamtown,MA,42.0869493,-71.4746436
FortDodgecity,IA,42.4974694,-94.1680158
MountOlivetownship,NJ,40.8462026,-74.743241
Hanoverborough,PA,40.27245,-76.90567
Nicevillecity,FL,30.5168639,-86.482172
Westlakecity,OH,41.4553232,-81.9179174
Palatkacity,FL,29.6487882,-81.6372111
Glendalecity,WI,43.1352881,-87.9356423
Massilloncity,OH,40.7967244,-81.5215093
Wenatcheecity,WA,47.4234599,-120.3103494
Roxburytownship,NJ,39.978734,-74.561568
Artesiacity,CA,50.8381797,-113.969388
Cudahycity,WI,42.959738,-87.861471
Urbanacity,OH,40.1083912,-83.7524298
Burlingtoncity,NC,36.0956918,-79.4377991
Hendersoncity,NV,36.0301134,-114.9826194
Champlincity,MN,45.1888539,-93.3974538
Highlandcity,CA,49.0485247,-122.7771303
Hyattsvillecity,MD,38.9529442,-76.9408647
SouthBendcity,IN,41.6833813,-86.2500066
Stuartcity,FL,27.197983,-80.2519175
LighthousePointcity,FL,26.2788624,-80.0888217
Southgatecity,MI,42.2062802,-83.2047359
Orangetown,CT,41.2784304,-73.0256609
Moorestowntownship,NJ,39.8615041,-74.7251593
Rialtocity,CA,34.1064001,-117.3703235
Gastoniacity,NC,35.2622158,-81.1838794
Irvingtontownship,NJ,40.7323235,-74.2348684
Hobokencity,NJ,40.7433066,-74.0323752
Harlingencity,TX,26.1908241,-97.6959794
ColonialHeightscity,VA,37.2659454,-77.3990079
Oneidacity,NY,43.2144051,-75.4039155
Charlottesvilledistrict,VA,38.087663,-78.556765
Clarksvilletown,IN,38.2967791,-85.7602087
Clintontown,MA,42.4199632,-71.6859507
Chesterfieldcity,MO,38.661953,-90.5643258
Sayrevilleborough,NJ,40.4612175,-74.2912577
Genevacity,NY,42.8690271,-76.9786122
RoanokeRapidscity,NC,36.4610756,-77.6548026
Dumascity,TX,35.8635875,-101.9650625
Winchestertown,MA,42.4523178,-71.1369982
WisconsinRapidscity,WI,44.3917589,-89.8228767
Longviewcity,WA,46.1377048,-122.9344623
Bellmawrborough,NJ,40.16706,-74.49987
ParadiseValleytown,AZ,33.5324295,-111.9505123
Lodicity,CA,45.2232055,-75.0073385
Troycity,AL,31.8087678,-85.969951
Stoughtontown,MA,42.1250995,-71.1022712
Holmdeltownship,NJ,40.3451095,-74.1840322
NorthPlainfieldborough,NJ,40.613454,-74.431351
Beltoncity,MO,38.8108097,-94.5313502
Warrensburgcity,MO,38.7624373,-93.7409596
Richmondcity,IN,39.8286897,-84.8898521
Merrillvilletown,IN,41.4828144,-87.3328139
Yeadonborough,PA,40.27245,-76.90567
BellefontaineNeighborscity,MO,38.7403281,-90.2265001
Stoningtontown,CT,41.3359327,-71.9059042
SanFranciscocity,CA,37.7790262,-122.4199061
Covinacity,CA,34.0821496,-117.8721238
Corvalliscity,OR,44.5645659,-123.2620435
SantaFeSpringscity,CA,33.9480787,-118.0691499
Farmingtoncity,MI,42.4644795,-83.3763219
Winslowtownship,NJ,39.6573385,-74.8623868
Meridentown,CT,41.5381535,-72.8070435
SantaMonicacity,CA,34.0250724,-118.4965129
Simsburytown,CT,41.8759152,-72.8012211
Biddefordcity,ME,43.4925843,-70.4533844
Oconomowoccity,WI,43.1116731,-88.4992659
PalmBaycity,FL,28.0331886,-80.6429695
Greshamcity,OR,45.5067406,-122.4367058
Eriecity,PA,42.1294712,-80.0852695
Provocity,UT,40.2338438,-111.6585337
Lewistoncity,ME,44.100351,-70.2147764
GrandRapidscity,MI,42.9632405,-85.6678639
VanWertcity,OH,40.8014651,-84.600988
NortonShorescity,MI,43.1689044,-86.2639461
Ithacacity,NY,42.4396039,-76.4968019
Jacksonvillecity,NC,34.7494749,-77.4208221
Vermilioncity,OH,41.4219889,-82.3646068
PembrokePinescity,FL,26.0232203,-80.3412391
Westervillecity,OH,40.126139,-82.9295287
NorthAdamscity,MA,42.700915,-73.1087148
Wallingtonborough,NJ,40.859578,-74.115996
Mequoncity,WI,43.2219088,-87.9822969
Cumberlandcity,MD,39.6526498,-78.762383
CottageGrovecity,MN,44.8277446,-92.9438218
Berkeleycity,MO,38.7544952,-90.3312256
Kingstoncity,NY,41.9287812,-74.0023702
Denvercity,CO,39.7392364,-104.9848623
GalenaParkcity,TX,29.7335616,-95.2302123
Leicestertown,MA,42.245926,-71.9086843
Moorecity,OK,35.3395135,-97.4867045
Alamedacity,CA,49.266667,-102.283333
BeaverDamcity,WI,43.4577692,-88.837329
Wallingfordtown,CT,41.4570418,-72.8231552
Fairfieldcity,OH,39.7886111,-82.6418883
Millbraecity,CA,37.5985468,-122.3871942
BossierCitycity,LA,32.5066112,-93.6514936
Brainerdcity,MN,46.3580221,-94.2008288
Lancastercity,PA,40.03813,-76.3056686
LakeCharlescity,LA,30.2265949,-93.2173759
Ashlandtown,MA,42.2612067,-71.4633956
Richlandtownship,PA,40.3592589,-76.2582849
Arcadiacity,CA,34.1362075,-118.0401497
Miltontown,MA,42.2501425,-71.065573
Wilsoncity,NC,35.7212689,-77.9155395
HighlandParkcity,IL,42.1816919,-87.8003438
Indiocity,CA,33.743765,-116.2233152
Frederickcity,MD,39.4142186,-77.4109269
MercerIslandcity,WA,47.5602073,-122.2201423
ForestParkcity,OH,39.2903353,-84.5041108
Logancity,UT,41.7313447,-111.8348631
RockvilleCentrevillage,NY,42.056884,-73.789523
Mankatocity,MN,44.1634663,-93.9993505
NewportNewscity,VA,36.9786449,-76.4321089
AlexanderCitycity,AL,32.944012,-85.9538532
Cranfordtownship,NJ,40.6584358,-74.2995923
Banningcity,CA,33.9255685,-116.875289
LosBanoscity,CA,37.0592253,-120.8505342
Glasgowcity,KY,36.9958841,-85.9119215
Laurinburgcity,NC,34.7740495,-79.4628248
Portalescity,NM,34.1861922,-103.3343978
Romuluscity,MI,42.2222614,-83.3965995
Beniciacity,CA,38.049365,-122.1585777
Medfordtownship,NJ,39.9009472,-74.8234961
MineralWellscity,TX,32.8084605,-98.1128223
Alhambracity,CA,34.093042,-118.12706
NewAlbanycity,IN,38.2856247,-85.8241312
Annapoliscity,MD,38.9786401,-76.492786
Whitewatercity,WI,42.8336422,-88.7292679
Greercity,SC,34.9381361,-82.2272119
Millburntownship,NJ,40.7244443,-74.3069069
Warwickcity,RI,41.7002024,-71.4161108
Pepperelltown,MA,42.6659227,-71.5884018
EastBrunswicktownship,NJ,40.4278841,-74.415984
FortSmithcity,AR,35.3872218,-94.4248983
Bostoncity,MA,42.3602534,-71.0582912
SouthMilwaukeecity,WI,42.9105722,-87.8606367
Glastonburytown,CT,41.7123218,-72.608146
Midvalecity,UT,40.6110589,-111.8999353
Bloomingtoncity,IN,39.1670396,-86.5342881
MountainViewcity,CA,51.6878246,-114.2502063
Allencity,TX,33.1031744,-96.6705503
Madisoncity,WI,43.074761,-89.3837613
Athenscity,TX,32.2044416,-95.854914
LincolnParkcity,MI,42.2505943,-83.1785361
Somersworthcity,NH,43.2513865,-70.8903607
Ypsilanticity,MI,42.24253,-83.6171427
HazelCrestvillage,IL,41.576653,-87.696845
Braintreetown,MA,42.2064195,-71.005067
Dovercity,OH,40.5213381,-81.4741475
CollegeParkcity,GA,33.6534427,-84.4493725
Elizabethcity,NJ,40.6639916,-74.2107006
Smyrnatown,TN,35.9828413,-86.5186045
Clarksvillecity,TN,36.5277607,-87.3588703
Ramseycity,MN,45.0165728,-93.0949501
Patersoncity,NJ,40.9167654,-74.171811
Dovercity,DE,39.158168,-75.5243682
Ankenycity,IA,41.7318715,-93.6003837
SomersPointcity,NJ,39.3176158,-74.594601
Orindacity,CA,37.8771476,-122.1796888
Sheffieldcity,AL,34.7559351,-87.6999772
Fontanacity,CA,49.8796782,-97.1400965
Sunnysidecity,WA,46.3246419,-120.0081898
SpanishForkcity,UT,40.114955,-111.654923
AuburnHillscity,MI,42.6875323,-83.2341028
Douglascity,GA,33.6995565,-84.7622973
Germantownvillage,WI,44.50024,-90.00041
Irmotown,SC,34.085736,-81.18249
Mitchellcity,SD,43.70953,-98.025379
AppleValleycity,MN,44.7319094,-93.21772
Roseburgcity,OR,43.216505,-123.3417381
Crestwoodcity,MO,38.558816,-90.3757777
HasbrouckHeightsborough,NJ,40.8607,-74.071012
LaGrandecity,OR,45.3246068,-118.0878695
Kaukaunacity,WI,44.2780432,-88.2720503
Bellevuecity,WA,47.6144219,-122.1923372
RiverFallscity,WI,44.8595111,-92.6265897
Milwaukiecity,OR,45.4453901,-122.6392889
Clemsoncity,SC,34.6850749,-82.8364111
Marlboroughcity,MA,42.3459271,-71.5522874
Greenbeltcity,MD,38.9937333,-76.8830658
Stantoncity,CA,69.75,-128.866667
Florencetownship,NJ,39.7342825,-74.9182198
Harrisonburgcity,VA,38.4396675,-78.8701365
Trumbulltown,CT,41.2599265,-73.2019777
BatonRougecity,LA,30.4459596,-91.18738
RollingMeadowscity,IL,42.0841936,-88.0131275
Watertowncity,SD,53.7271926,-2.2413303
Springfieldcity,TN,35.7701586,10.8387613
Marquettecity,MI,46.4481521,-87.6305899
Miamitownship,OH,40.0580258,-84.2236524
CentralFallscity,RI,41.8906553,-71.3922785
Reedleycity,CA,36.5969275,-119.4502701
